date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:01:32	109/109	---MC-	200	added ('OK')	text/plain	date:Fri,%2026%20Feb%202021%2020:01:32%20GMT	http://p1r0r.com/robots.txt		(from )
20:01:33	0/0	---MC-	302	error ('Found')	text/html	date:Fri,%2026%20Feb%202021%2020:01:33%20GMT	http://p1r0r.com/	C:/Users/p1r0r/Desktop/p1r0r/p1r0r/p1r0r.com/index.html	(from )
20:01:35	40478/40478	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Feb%202021%2020:01:33%20GMT	http://p1r0r.com/en/home	C:/Users/p1r0r/Desktop/p1r0r/p1r0r/p1r0r.com/en/home.html	(from http://p1r0r.com/)
20:01:36	149228/149228	---M-Z	200	added ('OK')	text/css	etag:%22246ec-52a75e3168f40-gzip%22	http://p1r0r.com/wp-content/themes/gridstack/style.css?ver=1.3.0	C:/Users/p1r0r/Desktop/p1r0r/p1r0r/p1r0r.com/wp-content/themes/gridstack/style6f3e.css	(from http://p1r0r.com/en/home)
20:01:37	15995/15995	---M--	200	added ('OK')	image/png	etag:%223e7b-52a64698567c0%22	http://p1r0r.com/wp-content/uploads/2013/08/logoFavi.png	C:/Users/p1r0r/Desktop/p1r0r/p1r0r/p1r0r.com/wp-content/uploads/2013/08/logoFavi.png	(from http://p1r0r.com/en/home)
20:01:41	51338/51338	---M-Z	200	added ('OK')	text/css	etag:%22c88a-5bbf038666771-gzip%22	http://p1r0r.com/wp-includes/css/dist/block-library/style.min.css?ver=5.6.2	C:/Users/p1r0r/Desktop/p1r0r/p1r0r/p1r0r.com/wp-includes/css/dist/block-library/style.min4c7e.css	(from http://p1r0r.com/en/home)
20:01:41	1692/1692	---MC-	200	added ('OK')	application/rss+xml	etag:%222434e21c7be6e80620ae42fd5698775d%22	http://p1r0r.com/en/comments/feed	C:/Users/p1r0r/Desktop/p1r0r/p1r0r/p1r0r.com/en/comments/feed	(from http://p1r0r.com/en/home)
20:01:42	1029/1029	---M-Z	200	added ('OK')	text/css	etag:%22405-52a660b68c680-gzip%22	http://p1r0r.com/wp-content/plugins/simple-follow-me-social-buttons-widget/assets/css/style.css?ver=3.3.3	C:/Users/p1r0r/Desktop/p1r0r/p1r0r/p1r0r.com/wp-content/plugins/simple-follow-me-social-buttons-widget/assets/css/style6765.css	(from http://p1r0r.com/en/home)
20:01:44	345/345	---M-Z	200	added ('OK')	text/css	etag:%22159-5b9fa2cc76bfb-gzip%22	http://p1r0r.com/wp-content/uploads/useanyfont/uaf.css?ver=1611859027	C:/Users/p1r0r/Desktop/p1r0r/p1r0r/p1r0r.com/wp-content/uploads/useanyfont/uaf2210.css	(from http://p1r0r.com/en/home)
20:01:45	162562/162562	---MCZ	200	added ('OK')	text/css	etag:%2227b02-52a660b68c680-gzip%22	http://p1r0r.com/wp-content/plugins/simple-follow-me-social-buttons-widget/assets/css/icons.css?ver=3.3.3	C:/Users/p1r0r/Desktop/p1r0r/p1r0r/p1r0r.com/wp-content/plugins/simple-follow-me-social-buttons-widget/assets/css/icons6765.css	(from http://p1r0r.com/en/home)
